入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
20.0,男,移行対象外,物流倉庫管理,埼玉県,桶川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
18.0,男,食品製造関係,そう菜製造業,山梨県,甲府市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,男,食品製造関係,そう菜製造業,山梨県,甲府市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,食品製造関係,そう菜製造業,山梨県,甲府市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,食品製造関係,そう菜製造業,山梨県,甲府市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
27.0,男,特定技能,農業(特定技能),鹿児島県,薩摩郡さつま町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
26.0,女,特定技能,農業(特定技能),鹿児島県,薩摩郡さつま町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
23.0,女,農業・林業関係,耕種農業,北海道,上川郡東神楽町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,農業・林業関係,耕種農業,北海道,上川郡東神楽町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
19.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
19.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",DT日本語学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
22.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,0
28.0,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,ハンズ協同組合,MAY KINN SAN COMPANY LIMITED,1
20.0,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ハンズ協同組合,MAY KINN SAN COMPANY LIMITED,1
19.0,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ハンズ協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,建設関係,タイル張り,大阪府,豊中市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,建設関係,タイル張り,大阪府,豊中市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,製本,千葉県,佐倉市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,製本,千葉県,佐倉市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,製本,千葉県,佐倉市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,移行対象外,物流倉庫管理,茨城県,土浦市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
26.0,女,移行対象外,物流倉庫管理,茨城県,土浦市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,その他,介護,鹿児島県,鹿屋市,"MYANMAR UNITED SK CO.,LTD",CB日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,介護,鹿児島県,鹿屋市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,女,その他,介護,鹿児島県,鹿屋市,"MYANMAR UNITED SK CO.,LTD",DT日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
27.0,女,その他,介護,鹿児島県,曽於郡大崎町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,その他,介護,鹿児島県,曽於郡大崎町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
26.0,女,その他,介護,鹿児島県,曽於郡大崎町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,建設関係,鉄筋施工,埼玉県,さいたま市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,建設関係,鉄筋施工,埼玉県,さいたま市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,特定技能,農業(特定技能),滋賀県,甲賀市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
25.0,男,特定技能,農業(特定技能),滋賀県,甲賀市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
20.0,男,特定技能,農業(特定技能),滋賀県,甲賀市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
25.0,女,特定技能,農業(特定技能),滋賀県,甲賀市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"株式会社Belldan
(アジアアグリ)",MAY KINN SAN COMPANY LIMITED,0
21.0,男,移行対象外,物流倉庫管理,宮城県,土浦市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
28.0,男,移行対象外,物流倉庫管理,宮城県,土浦市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,男,建設関係,建設機械施工,愛知県,名古屋市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
27.0,男,建設関係,建設機械施工,東京都,立川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,建設関係,建設機械施工,東京都,立川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,介護,鹿児島県,霧島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,介護,鹿児島県,霧島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,女,その他,介護,鹿児島県,霧島市,"MYANMAR UNITED SK CO.,LTD",CB日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,介護,奈良県,奈良市,"MYANMAR UNITED SK CO.,LTD",CB日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
28.0,女,その他,介護,奈良県,奈良市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,男,建設関係,左官,兵庫県,神戸市,"MYANMAR UNITED SK CO.,LTD",パティン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,建設関係,左官,兵庫県,神戸市,"MYANMAR UNITED SK CO.,LTD",パティン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,男,その他,溶接,大阪府,堺市,"MYANMAR UNITED SK CO.,LTD",パティン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,その他,溶接,大阪府,堺市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
